row_ID,final_price
35000,2815.886
35001,5940.919
35002,2471.1091
35003,562.2849
35004,5701.633
35005,4591.586
35006,3892.685
35007,3175.6528
35008,3778.4458
35009,5442.246
35010,3695.6025
35011,6029.8574
35012,3041.3652
35013,357.93097
35014,11044.966
35015,15061.903
35016,7477.696
35017,2704.4614
35018,13430.902
35019,2498.5996
35020,225.58319
35021,8052.362
35022,7904.767
35023,6591.374
35024,7390.5786
35025,2079.7954
35026,7056.1035
35027,4570.3945
35028,472.05826
35029,26569.395
35030,8479.024
35031,1704.8872
35032,14460.592
35033,7984.9985
35034,4618.6
35035,12183.718
35036,6947.0537
35037,3996.1196
35038,3423.5203
35039,11295.068
35040,1216.5734
35041,6476.175
35042,4754.735
35043,4091.89
35044,2283.3667
35045,2901.3438
35046,416.59424
35047,4805.4097
35048,4627.732
35049,6317.799
35050,1813.6409
35051,13208.266
35052,4521.3286
35053,5139.618
35054,1667.97
35055,690.4065
35056,1631.9161
35057,299.37482
35058,272.66614
35059,6037.8516
35060,785.9536
35061,4812.749
35062,3642.629
35063,7885.062
35064,110.87775
35065,13353.094
35066,6525.634
35067,4003.1396
35068,1078.9572
35069,3444.2944
35070,6401.044
35071,5308.5244
35072,1157.2775
35073,14806.451
35074,5286.624
35075,8089.6465
35076,3969.7886
35077,6354.1396
35078,18074.217
35079,918.1349
35080,4420.535
35081,5447.6885
35082,3606.6785
35083,3716.6943
35084,3474.906
35085,3456.8901
35086,3389.3337
35087,12592.189
35088,4403.901
35089,3693.4219
35090,170.21199
35091,3410.2642
35092,272.66614
35093,13284.744
35094,1644.611
35095,6497.5234
35096,4478.0117
35097,8912.565
35098,2342.3765
35099,4465.0723
35100,3836.9585
35101,6722.082
35102,11621.879
35103,57.74875
35104,4009.218
35105,8459.059
35106,6208.922
35107,5687.3633
35108,5208.2
35109,6455.21
35110,17216.008
35111,3257.3127
35112,6113.7383
35113,3612.78
35114,5010.002
35115,3831.6309
35116,2562.0505
35117,8483.758
35118,1792.2402
35119,10597.101
35120,6033.8047
35121,3456.4429
35122,2387.567
35123,4550.424
35124,5308.3877
35125,2514.21
35126,3664.063
35127,6963.434
35128,6993.7393
35129,15231.836
35130,3842.7446
35131,862.8668
35132,3838.4458
35133,3583.0977
35134,2363.103
35135,6997.9946
35136,70.68826
35137,667.5511
35138,3394.2075
35139,1672.1011
35140,2540.781
35141,9102.334
35142,4423.233
35143,11352.316
35144,2662.2832
35145,3214.7437
35146,8328.088
35147,2371.8438
35148,4220.96
35149,3857.6226
35150,6530.796
35151,3212.4739
35152,128.64452
35153,3163.4368
35154,5596.473
35155,299.37482
35156,4199.974
35157,5079.436
35158,1894.0206
35159,7034.6235
35160,183.35028
35161,4932.683
35162,3838.2925
35163,2486.2612
35164,2833.8694
35165,9006.242
35166,7041.6606
35167,4041.1445
35168,5913.5605
35169,3333.2393
35170,4069.7969
35171,8102.2163
35172,5876.2744
35173,6468.526
35174,2356.497
35175,2899.5125
35176,7535.9717
35177,4370.961
35178,11574.988
35179,4397.3525
35180,2538.6133
35181,5495.1855
35182,7734.0625
35183,10289.82
35184,4757.37
35185,2398.4885
35186,3690.553
35187,4454.1367
35188,7321.728
35189,3025.82
35190,1654.1292
35191,814.80273
35192,5591.273
35193,5777.8076
35194,9867.07
35195,9590.374
35196,3870.8496
35197,3614.4263
35198,5723.171
35199,4626.6553
35200,3642.9734
35201,10214.0625
35202,7370.0244
35203,2016.0095
35204,5096.83
35205,2881.2454
35206,148.81493
35207,5853.948
35208,7333.9756
35209,4745.635
35210,12804.787
35211,2664.2034
35212,1828.487
35213,19364.059
35214,5521.2026
35215,1334.6501
35216,9925.281
35217,963.02997
35218,21124.941
35219,4175.658
35220,9255.846
35221,8994.803
35222,18397.266
35223,5189.9688
35224,5450.259
35225,3185.0098
35226,15415.828
35227,7389.9146
35228,5697.2305
35229,196.13219
35230,5934.6504
35231,4013.9297
35232,5786.38
35233,3307.1228
35234,5507.619
35235,6929.1865
35236,6215.79
35237,628.0509
35238,2925.6743
35239,2065.391
35240,10837.721
35241,10662.459
35242,12284.289
35243,6438.8154
35244,3747.3389
35245,1575.9058
35246,4727.676
35247,12516.176
35248,6488.5557
35249,3363.373
35250,3802.9265
35251,18875.227
35252,5259.3154
35253,1823.3386
35254,2450.5469
35255,2938.9456
35256,16691.574
35257,1329.7534
35258,1596.5381
35259,1152.1829
35260,2146.4297
35261,2599.8232
35262,205.22733
35263,11826.875
35264,2575.4692
35265,3685.9453
35266,5760.383
35267,2650.8545
35268,986.44543
35269,1786.882
35270,4219.0493
35271,4907.6167
35272,8339.356
35273,624.6669
35274,12744.26
35275,2590.4126
35276,11055.6875
35277,2273.112
35278,2996.946
